random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
10,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5945945945945946,0.6407990426217436,0.5215425233119874,0.611876284778206,"[[46, 6, 19], [0, 5, 1], [12, 7, 15]]",13,5,0.647887323943662,0.7931034482758621,0.7131782945736435,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.4411764705882353,0.42857142857142855,0.43478260869565216
10,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6126126126126126,0.49249746847095643,0.46964016375781087,0.6198268080621022,"[[52, 4, 15], [2, 2, 2], [15, 5, 14]]",9,2,0.7323943661971831,0.7536231884057971,0.7428571428571429,0.3333333333333333,0.18181818181818182,0.23529411764705882,0.4117647058823529,0.45161290322580644,0.4307692307692308
10,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.5945945945945946,0.4728896253337016,0.4527417027417027,0.5953940953940954,"[[52, 4, 15], [2, 2, 2], [18, 4, 12]]",8,2,0.7323943661971831,0.7222222222222222,0.7272727272727273,0.3333333333333333,0.2,0.25,0.35294117647058826,0.41379310344827586,0.38095238095238093
10,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.4775844610144528,0.4715573619683209,0.5977160360722005,"[[53, 3, 15], [2, 2, 2], [20, 2, 12]]",5,2,0.7464788732394366,0.7066666666666667,0.726027397260274,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.35294117647058826,0.41379310344827586,0.38095238095238093
10,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6306306306306306,0.568075117370892,0.5656199677938809,0.6351786569177874,"[[50, 2, 19], [1, 3, 2], [16, 1, 17]]",3,3,0.704225352112676,0.746268656716418,0.7246376811594203,0.5,0.5,0.5,0.5,0.4473684210526316,0.4722222222222222
11,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.7117117117117117,0.7120500782472613,0.6426653108051731,0.7116771809356289,"[[57, 2, 12], [0, 5, 1], [13, 4, 17]]",6,5,0.8028169014084507,0.8142857142857143,0.8085106382978723,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.5,0.5666666666666667,0.53125
11,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6846846846846847,0.49452269170579033,0.5040641897784756,0.6757822186393615,"[[58, 1, 12], [3, 1, 2], [15, 2, 17]]",3,1,0.8169014084507042,0.7631578947368421,0.7891156462585034,0.16666666666666666,0.25,0.2,0.5,0.5483870967741935,0.5230769230769231
11,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4416367485961521,0.4452799135634957,0.6086824612944017,"[[53, 2, 16], [2, 1, 3], [18, 2, 14]]",4,1,0.7464788732394366,0.726027397260274,0.7361111111111112,0.16666666666666666,0.2,0.18181818181818182,0.4117647058823529,0.42424242424242425,0.417910447761194
11,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.4318328270275246,0.44543644032501123,0.5952730485545861,"[[53, 1, 17], [2, 1, 3], [20, 1, 13]]",2,1,0.7464788732394366,0.7066666666666667,0.726027397260274,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.38235294117647056,0.3939393939393939,0.3880597014925373
11,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6486486486486487,0.4808524348706619,0.4925888925888926,0.6436794436794437,"[[53, 1, 17], [4, 1, 1], [15, 1, 18]]",2,1,0.7464788732394366,0.7361111111111112,0.7412587412587412,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5294117647058824,0.5,0.5142857142857142
12,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5405405405405406,0.4549387830249471,0.4194023569023569,0.5686993811993812,"[[44, 6, 21], [1, 2, 3], [12, 8, 14]]",14,2,0.6197183098591549,0.7719298245614035,0.6875,0.3333333333333333,0.125,0.18181818181818182,0.4117647058823529,0.3684210526315789,0.3888888888888889
12,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6216216216216216,0.415907207953604,0.4148418491484185,0.6293812060235418,"[[51, 4, 16], [2, 0, 4], [13, 3, 18]]",7,0,0.7183098591549296,0.7727272727272727,0.7445255474452555,0.0,0.0,0.0,0.5294117647058824,0.47368421052631576,0.5
